datetime,epoch,pod,latency,requests,action,new_latency,new_requests,reward,q_value,random
2021-11-02 19:18:19.136521,0,2,0,0,3,0,0,-10,-5.0,True
2021-11-02 19:19:06.070227,1,3,0,0,1,310,8,20,10.0,False
2021-11-02 19:19:53.192930,2,1,310,8,1,258,8,10,5.0,True
2021-11-02 19:20:40.281940,3,1,258,8,1,289,10,10,7.5,False
2021-11-02 19:21:27.253728,4,1,289,10,1,207,6,10,6.875,False
2021-11-02 19:22:14.506287,5,1,207,6,1,311,12,10,10.46875,False
2021-11-02 19:23:01.491965,6,1,311,12,3,207,2,-20,-7.5,True
2021-11-02 19:23:48.612882,7,3,207,2,1,275,6,20,17.6171875,False
2021-11-02 19:24:35.504544,8,1,275,6,1,269,10,10,11.953125,False
2021-11-02 19:25:22.613387,9,1,269,10,1,289,10,10,10.15625,False
2021-11-02 19:26:09.506230,10,1,289,10,1,258,8,10,13.06640625,False
2021-11-02 19:26:56.513150,11,1,258,8,1,207,4,10,13.96484375,False
2021-11-02 19:27:44.844775,12,1,207,4,1,259,8,10,15.4736328125,False
2021-11-02 19:28:32.027088,13,1,259,8,1,231,8,10,16.605224609375,False
2021-11-02 19:29:19.064199,14,1,231,8,3,207,4,-20,-5.595703125,True
2021-11-02 19:30:06.146385,15,3,207,4,1,290,10,20,22.0751953125,False
2021-11-02 19:30:53.178630,16,1,290,10,1,261,8,10,15.68450927734375,False
2021-11-02 19:31:40.132839,17,1,261,8,1,309,8,10,17.45391845703125,False
2021-11-02 19:32:27.268578,18,1,309,8,1,284,8,10,18.090438842773438,False
2021-11-02 19:33:14.187913,19,1,284,8,1,260,8,10,18.567829132080078,False
2021-11-02 19:34:01.291413,20,1,260,8,1,207,6,10,18.92587184906006,False
2021-11-02 19:34:48.290242,21,1,207,6,1,309,8,10,19.194403886795044,False
2021-11-02 19:35:35.195091,22,1,309,8,1,275,6,10,19.395802915096283,False
2021-11-02 19:36:22.307260,23,1,275,6,1,207,6,10,19.546852186322212,False
2021-11-02 19:37:09.407450,24,1,207,6,1,290,12,10,18.694553412497044,False
2021-11-02 19:37:57.439134,25,1,290,12,1,262,8,10,17.515892991796136,False
2021-11-02 19:38:44.492756,26,1,262,8,1,287,10,10,18.726249954197556,False
2021-11-02 19:39:31.545910,27,1,287,10,1,288,10,10,18.136919743847102,False
2021-11-02 19:40:18.433037,28,1,288,10,1,290,10,10,18.602689807885326,False
2021-11-02 19:41:05.549820,29,1,290,10,1,258,8,10,18.982907392492052,False
2021-11-02 19:41:52.553908,30,1,258,8,1,290,10,10,19.10885182522179,False
2021-11-02 19:42:39.658751,31,1,290,10,1,283,8,10,19.268666652551474,False
2021-11-02 19:43:26.561793,32,1,283,8,1,248,10,10,19.371592575748764,False
2021-11-02 19:44:13.556274,33,1,248,10,1,231,8,10,19.477231470212928,False
2021-11-02 19:45:00.561994,34,1,231,8,1,289,10,10,19.555104155427614,False
2021-11-02 19:45:47.631150,35,1,289,10,1,258,8,10,19.627391773963367,False
2021-11-02 19:46:37.335317,36,1,258,8,1,276,6,10,19.66632811657071,False
2021-11-02 19:47:24.907412,37,1,276,6,1,279,6,10,19.749746087428033,False
2021-11-02 19:48:12.976764,38,1,279,6,1,310,12,10,19.781720987204856,False
2021-11-02 19:49:00.025763,39,1,310,12,3,208,2,-20,-8.231201171875,True
2021-11-02 19:49:47.286819,40,3,208,2,1,258,8,20,25.983027903051216,True
2021-11-02 19:50:35.109776,41,1,258,8,1,275,6,10,19.83629074040364,False
2021-11-02 19:51:23.243438,42,1,275,6,1,207,4,10,19.87721805530273,False
2021-11-02 19:52:10.278873,43,1,207,4,1,230,8,10,19.90791354147705,False
2021-11-02 19:52:57.347659,44,1,230,8,3,207,4,-20,-6.302094586737196,True
2021-11-02 19:53:44.444439,45,3,207,4,1,312,12,20,27.89836189501645,False
2021-11-02 19:54:31.554563,46,1,312,12,1,258,8,10,19.790674272350948,False
2021-11-02 19:55:18.654660,47,1,258,8,1,259,8,10,19.930935156107786,False
2021-11-02 19:56:05.861433,48,1,259,8,1,259,8,10,19.94820136708084,False
2021-11-02 19:56:52.972713,49,1,259,8,1,207,4,10,19.96115102531063,False
2021-11-02 19:57:39.872606,50,1,207,4,1,276,6,10,19.970863268982974,False
2021-11-02 19:58:27.875803,51,1,276,6,1,208,10,10,19.933100202579226,False
2021-11-02 19:59:15.102903,52,1,208,10,1,262,8,10,19.87861218682028,False
2021-11-02 20:00:02.314275,53,1,262,8,1,232,8,10,19.94982515193442,False
2021-11-02 20:00:49.269083,54,1,232,8,1,208,6,10,19.962368863950815,False
2021-11-02 20:01:36.823808,55,1,208,6,1,276,6,10,19.97177664796311,False
2021-11-02 20:02:23.828909,56,1,276,6,1,208,4,10,19.978832485972333,False
2021-11-02 20:03:10.834139,57,1,208,4,1,211,6,10,19.98412436447925,False
2021-11-02 20:03:57.772306,58,1,211,6,1,289,10,10,19.961715228944694,False
2021-11-02 20:04:44.683741,59,1,289,10,1,258,8,10,19.929734900646316,False
2021-11-02 20:05:31.607691,60,1,258,8,1,260,8,10,19.97128642170852,False
2021-11-02 20:06:18.647964,61,1,260,8,1,276,6,10,19.978464816281388,False
2021-11-02 20:07:05.733723,62,1,276,6,1,276,6,10,19.98384861221104,False
2021-11-02 20:07:52.831851,63,1,276,6,1,289,10,10,19.9743580312671,False
2021-11-02 20:08:44.856222,64,1,289,10,1,259,8,10,19.958456958139934,False
2021-11-02 20:09:31.851092,65,1,259,8,1,211,4,10,19.980768523450326,True
2021-11-02 20:10:20.680614,66,1,211,4,1,258,8,10,19.985576392587745,False
2021-11-02 20:11:07.810678,67,1,258,8,1,290,10,10,19.982402435828856,False
2021-11-02 20:11:54.807581,68,1,290,10,1,275,6,10,19.97482908802718,True
2021-11-02 20:12:41.911035,69,1,275,6,2,276,6,0,0.0,True
2021-11-02 20:13:28.999645,70,2,276,6,3,311,4,0,4.4745904737541125,True
2021-11-02 20:14:15.979411,71,3,311,4,1,289,10,20,28.94288821951502,True
2021-11-02 20:15:03.202245,72,1,289,10,1,259,8,10,19.983015152970808,False
2021-11-02 20:15:50.425334,73,1,259,8,1,289,10,10,19.98695500615713,False
2021-11-02 20:16:37.413952,74,1,289,10,1,207,6,10,19.988246328024687,False
2021-11-02 20:17:27.041514,75,1,207,6,1,279,6,10,19.99021625461785,False
2021-11-02 20:18:13.933095,76,1,279,6,1,259,8,10,19.992662190963387,False
